[15:16:06.331] 16 iterations per epoch
[15:16:09.850] iteration 1 : loss : 1.527668, loss_ce: 2.203704, loss_dice: 0.851633, loss_cons: 0.011217
[15:17:53.010] 16 iterations per epoch
[15:17:56.548] iteration 1 : loss : 1.527668, loss_ce: 2.203704, loss_dice: 0.851633, loss_cons: 0.011217
[15:19:31.423] 16 iterations per epoch
[15:20:38.431] iteration 83 : total loss : 0.451051, loss_ce: 0.404563, loss_dice: 0.497539, loss_cons: 0.004916 , con_weight: 0.000000
[15:20:39.232] iteration 84 : total loss : 0.387269, loss_ce: 0.314685, loss_dice: 0.459853, loss_cons: 0.005070 , con_weight: 0.000000
[15:20:39.992] iteration 85 : total loss : 0.398619, loss_ce: 0.320310, loss_dice: 0.476929, loss_cons: 0.005316 , con_weight: 0.000000
[15:20:40.724] iteration 86 : total loss : 0.385129, loss_ce: 0.297767, loss_dice: 0.472491, loss_cons: 0.006576 , con_weight: 0.000000
[15:20:41.806] iteration 87 : total loss : 0.379948, loss_ce: 0.285067, loss_dice: 0.474829, loss_cons: 0.007550 , con_weight: 0.000000
[15:20:42.683] iteration 88 : total loss : 0.412292, loss_ce: 0.322809, loss_dice: 0.501774, loss_cons: 0.008249 , con_weight: 0.000000
[15:20:43.287] iteration 89 : total loss : 0.465169, loss_ce: 0.434007, loss_dice: 0.496330, loss_cons: 0.007971 , con_weight: 0.000000
[15:20:43.983] iteration 90 : total loss : 0.327643, loss_ce: 0.217228, loss_dice: 0.438058, loss_cons: 0.007355 , con_weight: 0.000000
[15:20:44.595] iteration 91 : total loss : 0.361634, loss_ce: 0.279432, loss_dice: 0.443837, loss_cons: 0.006151 , con_weight: 0.000000
[15:20:45.249] iteration 92 : total loss : 0.355106, loss_ce: 0.272944, loss_dice: 0.437268, loss_cons: 0.005955 , con_weight: 0.000000
[15:20:46.084] iteration 93 : total loss : 0.401441, loss_ce: 0.328079, loss_dice: 0.474802, loss_cons: 0.006490 , con_weight: 0.000000
[15:20:46.748] iteration 94 : total loss : 0.387562, loss_ce: 0.318727, loss_dice: 0.456397, loss_cons: 0.006528 , con_weight: 0.000000
[15:20:47.483] iteration 95 : total loss : 0.469350, loss_ce: 0.431532, loss_dice: 0.507168, loss_cons: 0.007800 , con_weight: 0.000000
[15:20:48.146] iteration 96 : total loss : 0.350070, loss_ce: 0.257795, loss_dice: 0.442345, loss_cons: 0.008214 , con_weight: 0.000000
[15:20:49.569] iteration 97 : total loss : 0.360513, loss_ce: 0.272564, loss_dice: 0.448463, loss_cons: 0.009234 , con_weight: 0.000000
[15:20:50.178] iteration 98 : total loss : 0.369944, loss_ce: 0.306094, loss_dice: 0.433793, loss_cons: 0.008369 , con_weight: 0.000000
[15:20:51.096] iteration 99 : total loss : 0.329771, loss_ce: 0.249933, loss_dice: 0.409609, loss_cons: 0.009363 , con_weight: 0.000000
[15:20:51.881] iteration 100 : total loss : 0.463527, loss_ce: 0.404736, loss_dice: 0.522317, loss_cons: 0.008546 , con_weight: 0.000000
[15:20:52.647] iteration 101 : total loss : 0.359157, loss_ce: 0.278687, loss_dice: 0.439626, loss_cons: 0.006706 , con_weight: 0.000000
[15:20:53.371] iteration 102 : total loss : 0.460299, loss_ce: 0.410184, loss_dice: 0.510414, loss_cons: 0.007229 , con_weight: 0.000000
[15:20:54.475] iteration 103 : total loss : 0.385406, loss_ce: 0.284118, loss_dice: 0.486693, loss_cons: 0.007928 , con_weight: 0.000000
[15:20:55.363] iteration 104 : total loss : 0.350964, loss_ce: 0.288811, loss_dice: 0.413117, loss_cons: 0.008264 , con_weight: 0.000000
[15:20:55.993] iteration 105 : total loss : 0.348117, loss_ce: 0.286976, loss_dice: 0.409258, loss_cons: 0.008535 , con_weight: 0.000000
[15:20:56.691] iteration 106 : total loss : 0.362841, loss_ce: 0.291507, loss_dice: 0.434174, loss_cons: 0.009088 , con_weight: 0.000000
[15:20:57.298] iteration 107 : total loss : 0.371188, loss_ce: 0.317055, loss_dice: 0.425321, loss_cons: 0.008328 , con_weight: 0.000000
[15:20:57.941] iteration 108 : total loss : 0.373864, loss_ce: 0.334981, loss_dice: 0.412747, loss_cons: 0.007246 , con_weight: 0.000000
[15:20:58.801] iteration 109 : total loss : 0.355554, loss_ce: 0.282191, loss_dice: 0.428917, loss_cons: 0.008238 , con_weight: 0.000000
[15:20:59.444] iteration 110 : total loss : 0.368755, loss_ce: 0.314833, loss_dice: 0.422677, loss_cons: 0.007808 , con_weight: 0.000000
